datetime,sleep_hours,night_duty,training_intensity,camping,temperature,risk_score,risk_level
2025-05-21 03:19,7,True,low,True,26.3,3,✅ 양호
2025-05-21 09:19,3,True,medium,False,35.7,6,⚠️ 주의
2025-05-21 15:19,8,True,high,True,30.1,6,⚠️ 주의
2025-05-21 21:19,6,True,low,True,26.2,3,✅ 양호
2025-05-22 03:19,6,False,high,False,31.3,3,✅ 양호
2025-05-22 09:19,4,True,low,True,28.8,5,⚠️ 주의
2025-05-22 15:19,3,False,high,True,34.8,7,🔥 매우 위험
2025-05-22 21:19,3,True,low,True,31.4,6,⚠️ 주의
2025-05-23 03:19,8,True,medium,True,34.6,5,⚠️ 주의
2025-05-23 09:19,7,True,high,False,37.6,5,⚠️ 주의
2025-05-23 15:19,3,False,medium,False,36.3,5,⚠️ 주의
2025-05-23 21:19,8,True,medium,True,27.9,4,⚠️ 주의
2025-05-24 03:19,3,False,high,False,26.9,4,⚠️ 주의
2025-05-24 09:19,7,True,medium,True,32.6,5,⚠️ 주의
2025-05-24 15:19,7,True,medium,False,28.1,2,✅ 양호
2025-05-24 21:19,3,True,medium,False,26.1,4,⚠️ 주의
2025-05-25 03:19,7,False,medium,True,30.5,4,⚠️ 주의
2025-05-25 09:19,4,True,high,False,31.4,6,⚠️ 주의
2025-05-25 15:19,7,False,medium,False,34.6,2,✅ 양호
2025-05-25 21:19,7,True,low,True,34.7,4,⚠️ 주의
2025-05-26 03:19,7,False,medium,True,29.9,3,✅ 양호
2025-05-26 09:19,3,True,low,False,30.7,4,⚠️ 주의
2025-05-26 15:19,4,False,low,False,32.2,3,✅ 양호
2025-05-26 21:19,7,False,medium,True,37.9,5,⚠️ 주의
2025-05-27 03:19,7,False,high,True,37.6,6,⚠️ 주의
2025-05-27 09:19,4,True,low,True,34.0,6,⚠️ 주의
2025-05-27 15:19,3,True,medium,False,30.0,5,⚠️ 주의
2025-05-27 21:19,3,True,medium,False,25.8,4,⚠️ 주의
2025-05-28 03:19,8,False,low,False,27.2,0,✅ 양호
2025-05-28 09:19,6,False,medium,False,32.6,2,✅ 양호
