datetime,sleep_hours,night_duty,training_intensity,camping,temperature,risk_score,risk_level
2025-05-21 03:19,5,True,low,False,28.6,2,✅ 양호
2025-05-21 09:19,7,False,low,False,26.6,0,✅ 양호
2025-05-21 15:19,3,False,medium,False,29.7,3,✅ 양호
2025-05-21 21:19,8,False,low,True,25.5,2,✅ 양호
2025-05-22 03:19,3,True,low,False,26.1,3,✅ 양호
2025-05-22 09:19,8,True,high,False,25.8,3,✅ 양호
2025-05-22 15:19,4,False,low,False,34.7,3,✅ 양호
2025-05-22 21:19,7,False,high,True,29.8,4,⚠️ 주의
2025-05-23 03:19,8,False,medium,False,29.8,1,✅ 양호
2025-05-23 09:19,4,True,medium,False,26.9,4,⚠️ 주의
2025-05-23 15:19,5,True,high,True,36.0,8,🔥 매우 위험
2025-05-23 21:19,5,True,low,False,30.8,3,✅ 양호
2025-05-24 03:19,5,True,high,False,28.5,4,⚠️ 주의
2025-05-24 09:19,7,False,medium,True,29.2,3,✅ 양호
2025-05-24 15:19,8,False,medium,False,28.0,1,✅ 양호
2025-05-24 21:19,7,False,low,False,29.6,0,✅ 양호
2025-05-25 03:19,3,True,medium,True,32.6,7,🔥 매우 위험
2025-05-25 09:19,8,False,high,False,32.6,3,✅ 양호
2025-05-25 15:19,6,True,medium,True,29.4,4,⚠️ 주의
2025-05-25 21:19,6,False,medium,True,29.6,3,✅ 양호
2025-05-26 03:19,7,False,low,True,28.1,2,✅ 양호
2025-05-26 09:19,8,True,medium,False,28.2,2,✅ 양호
2025-05-26 15:19,6,False,high,False,28.7,2,✅ 양호
2025-05-26 21:19,3,True,high,True,25.2,7,🔥 매우 위험
2025-05-27 03:19,7,False,high,False,30.2,3,✅ 양호
2025-05-27 09:19,6,True,high,False,37.7,5,⚠️ 주의
2025-05-27 15:19,8,False,medium,True,35.7,5,⚠️ 주의
2025-05-27 21:19,4,True,high,False,31.2,6,⚠️ 주의
2025-05-28 03:19,7,False,low,False,37.6,2,✅ 양호
2025-05-28 09:19,6,True,low,False,28.2,1,✅ 양호
