datetime,sleep_hours,night_duty,training_intensity,camping,temperature,risk_score,risk_level
2025-05-21 03:19,6,True,high,True,35.1,7,🔥 매우 위험
2025-05-21 09:19,7,True,medium,True,26.3,4,⚠️ 주의
2025-05-21 15:19,5,False,low,False,26.9,1,✅ 양호
2025-05-21 21:19,5,False,low,False,34.4,2,✅ 양호
2025-05-22 03:19,8,False,medium,False,37.9,3,✅ 양호
2025-05-22 09:19,3,False,medium,False,25.1,3,✅ 양호
2025-05-22 15:19,3,True,high,True,30.2,8,🔥 매우 위험
2025-05-22 21:19,6,False,high,False,26.2,2,✅ 양호
2025-05-23 03:19,8,True,high,False,32.7,4,⚠️ 주의
2025-05-23 09:19,5,True,high,True,27.2,6,⚠️ 주의
2025-05-23 15:19,4,False,low,False,32.3,3,✅ 양호
2025-05-23 21:19,4,True,medium,True,28.0,6,⚠️ 주의
2025-05-24 03:19,6,True,high,False,31.4,4,⚠️ 주의
2025-05-24 09:19,5,False,low,False,27.4,1,✅ 양호
2025-05-24 15:19,6,False,medium,False,27.7,1,✅ 양호
2025-05-24 21:19,6,False,low,True,35.9,4,⚠️ 주의
2025-05-25 03:19,6,False,medium,False,37.0,3,✅ 양호
2025-05-25 09:19,8,True,low,False,29.2,1,✅ 양호
2025-05-25 15:19,7,False,high,True,32.6,5,⚠️ 주의
2025-05-25 21:19,3,False,low,True,28.9,4,⚠️ 주의
2025-05-26 03:19,7,True,low,True,30.5,4,⚠️ 주의
2025-05-26 09:19,3,False,high,True,27.6,6,⚠️ 주의
2025-05-26 15:19,5,True,low,True,26.0,4,⚠️ 주의
2025-05-26 21:19,4,True,high,True,33.1,8,🔥 매우 위험
2025-05-27 03:19,4,True,high,True,33.7,8,🔥 매우 위험
2025-05-27 09:19,7,True,medium,True,32.3,5,⚠️ 주의
2025-05-27 15:19,5,True,high,False,36.0,6,⚠️ 주의
2025-05-27 21:19,7,False,high,True,28.3,4,⚠️ 주의
2025-05-28 03:19,5,True,high,True,26.4,6,⚠️ 주의
2025-05-28 09:19,6,True,high,True,36.6,7,🔥 매우 위험
