datetime,sleep_hours,night_duty,training_intensity,camping,temperature,risk_score,risk_level
2025-05-21 03:19,4,True,medium,True,34.6,7,🔥 매우 위험
2025-05-21 09:19,7,True,low,True,32.6,4,⚠️ 주의
2025-05-21 15:19,6,False,medium,True,35.6,5,⚠️ 주의
2025-05-21 21:19,6,True,medium,True,29.9,4,⚠️ 주의
2025-05-22 03:19,6,False,low,True,30.3,3,✅ 양호
2025-05-22 09:19,8,True,medium,True,28.8,4,⚠️ 주의
2025-05-22 15:19,6,False,medium,False,26.8,1,✅ 양호
2025-05-22 21:19,4,False,high,False,31.1,5,⚠️ 주의
2025-05-23 03:19,3,False,high,True,28.5,6,⚠️ 주의
2025-05-23 09:19,4,True,low,True,27.8,5,⚠️ 주의
2025-05-23 15:19,8,True,medium,False,26.7,2,✅ 양호
2025-05-23 21:19,7,True,medium,True,33.9,5,⚠️ 주의
2025-05-24 03:19,8,False,low,False,32.5,1,✅ 양호
2025-05-24 09:19,8,False,low,True,33.5,3,✅ 양호
2025-05-24 15:19,4,False,high,True,25.1,6,⚠️ 주의
2025-05-24 21:19,7,True,low,True,36.4,5,⚠️ 주의
2025-05-25 03:19,4,False,low,True,31.4,5,⚠️ 주의
2025-05-25 09:19,4,True,low,False,30.3,4,⚠️ 주의
2025-05-25 15:19,8,False,medium,False,29.6,1,✅ 양호
2025-05-25 21:19,8,True,low,True,26.2,3,✅ 양호
2025-05-26 03:19,5,False,low,True,35.9,5,⚠️ 주의
2025-05-26 09:19,5,False,low,True,28.9,3,✅ 양호
2025-05-26 15:19,5,False,medium,True,33.6,5,⚠️ 주의
2025-05-26 21:19,8,False,low,False,27.8,0,✅ 양호
2025-05-27 03:19,6,True,high,True,35.9,7,🔥 매우 위험
2025-05-27 09:19,3,False,high,True,27.0,6,⚠️ 주의
2025-05-27 15:19,3,False,medium,True,29.5,5,⚠️ 주의
2025-05-27 21:19,3,True,low,True,33.9,6,⚠️ 주의
2025-05-28 03:19,4,True,high,True,35.6,9,🔥 매우 위험
2025-05-28 09:19,7,False,high,False,25.1,2,✅ 양호
