datetime,sleep_hours,night_duty,training_intensity,camping,temperature,risk_score,risk_level
2025-05-21 03:19,3,False,low,False,34.0,3,✅ 양호
2025-05-21 09:19,7,True,high,True,32.0,6,⚠️ 주의
2025-05-21 15:19,7,False,low,False,32.8,1,✅ 양호
2025-05-21 21:19,5,False,medium,False,35.5,4,⚠️ 주의
2025-05-22 03:19,3,True,medium,False,35.4,6,⚠️ 주의
2025-05-22 09:19,6,False,medium,False,32.0,2,✅ 양호
2025-05-22 15:19,4,True,low,True,36.8,7,🔥 매우 위험
2025-05-22 21:19,3,True,high,False,25.0,5,⚠️ 주의
2025-05-23 03:19,7,True,high,True,27.1,5,⚠️ 주의
2025-05-23 09:19,5,True,medium,True,34.0,6,⚠️ 주의
2025-05-23 15:19,4,False,high,True,29.2,6,⚠️ 주의
2025-05-23 21:19,3,False,low,False,37.6,4,⚠️ 주의
2025-05-24 03:19,6,False,medium,True,31.5,4,⚠️ 주의
2025-05-24 09:19,3,True,low,False,25.5,3,✅ 양호
2025-05-24 15:19,3,False,medium,False,25.7,3,✅ 양호
2025-05-24 21:19,7,False,low,True,28.1,2,✅ 양호
2025-05-25 03:19,4,True,medium,False,32.2,5,⚠️ 주의
2025-05-25 09:19,6,True,high,False,28.1,3,✅ 양호
2025-05-25 15:19,8,False,low,False,37.8,2,✅ 양호
2025-05-25 21:19,8,True,high,False,35.4,5,⚠️ 주의
2025-05-26 03:19,3,False,high,False,34.0,5,⚠️ 주의
2025-05-26 09:19,5,False,high,False,25.2,3,✅ 양호
2025-05-26 15:19,5,True,high,False,33.4,5,⚠️ 주의
2025-05-26 21:19,6,True,low,False,30.0,2,✅ 양호
2025-05-27 03:19,4,False,low,True,29.4,4,⚠️ 주의
2025-05-27 09:19,3,False,high,True,36.4,8,🔥 매우 위험
2025-05-27 15:19,5,True,medium,False,32.2,4,⚠️ 주의
2025-05-27 21:19,6,True,medium,True,26.2,4,⚠️ 주의
2025-05-28 03:19,6,True,low,False,33.2,2,✅ 양호
2025-05-28 09:19,3,True,high,True,34.4,8,🔥 매우 위험
