datetime,sleep_hours,night_duty,training_intensity,camping,temperature,risk_score,risk_level
2025-05-21 03:19,5,False,medium,False,36.5,4,⚠️ 주의
2025-05-21 09:19,6,True,low,False,35.2,3,✅ 양호
2025-05-21 15:19,6,False,high,False,26.3,2,✅ 양호
2025-05-21 21:19,5,True,low,False,27.1,2,✅ 양호
2025-05-22 03:19,4,False,medium,True,33.5,6,⚠️ 주의
2025-05-22 09:19,3,False,low,False,28.1,2,✅ 양호
2025-05-22 15:19,7,False,high,True,33.5,5,⚠️ 주의
2025-05-22 21:19,3,False,high,True,33.3,7,🔥 매우 위험
2025-05-23 03:19,8,False,medium,False,37.7,3,✅ 양호
2025-05-23 09:19,5,False,high,True,35.3,7,🔥 매우 위험
2025-05-23 15:19,8,True,high,False,36.2,5,⚠️ 주의
2025-05-23 21:19,6,True,high,False,25.3,3,✅ 양호
2025-05-24 03:19,3,False,low,False,37.2,4,⚠️ 주의
2025-05-24 09:19,7,False,low,False,29.8,0,✅ 양호
2025-05-24 15:19,3,True,low,True,32.2,6,⚠️ 주의
2025-05-24 21:19,5,False,low,False,28.8,1,✅ 양호
2025-05-25 03:19,7,False,high,True,29.1,4,⚠️ 주의
2025-05-25 09:19,4,True,medium,True,36.0,8,🔥 매우 위험
2025-05-25 15:19,5,False,medium,False,27.7,2,✅ 양호
2025-05-25 21:19,8,True,medium,True,31.7,5,⚠️ 주의
2025-05-26 03:19,4,False,low,False,34.1,3,✅ 양호
2025-05-26 09:19,5,False,high,True,28.9,5,⚠️ 주의
2025-05-26 15:19,4,True,medium,True,32.9,7,🔥 매우 위험
2025-05-26 21:19,6,False,high,True,33.2,5,⚠️ 주의
2025-05-27 03:19,6,True,medium,False,25.7,2,✅ 양호
2025-05-27 09:19,5,True,high,False,32.5,5,⚠️ 주의
2025-05-27 15:19,8,True,low,False,32.1,2,✅ 양호
2025-05-27 21:19,7,False,medium,False,25.4,1,✅ 양호
2025-05-28 03:19,6,False,medium,True,29.7,3,✅ 양호
2025-05-28 09:19,6,True,low,False,35.0,3,✅ 양호
