datetime,sleep_hours,night_duty,training_intensity,camping,temperature,risk_score,risk_level
2025-05-21 03:19,6,True,low,False,37.8,3,✅ 양호
2025-05-21 09:19,8,True,low,True,29.0,3,✅ 양호
2025-05-21 15:19,6,True,low,True,36.8,5,⚠️ 주의
2025-05-21 21:19,7,False,medium,True,34.4,4,⚠️ 주의
2025-05-22 03:19,3,False,medium,False,36.4,5,⚠️ 주의
2025-05-22 09:19,5,True,low,True,30.3,5,⚠️ 주의
2025-05-22 15:19,8,True,medium,False,37.8,4,⚠️ 주의
2025-05-22 21:19,5,True,medium,True,30.1,6,⚠️ 주의
2025-05-23 03:19,5,True,low,True,25.8,4,⚠️ 주의
2025-05-23 09:19,3,True,high,True,25.2,7,🔥 매우 위험
2025-05-23 15:19,8,False,low,True,38.0,4,⚠️ 주의
2025-05-23 21:19,8,True,low,True,35.0,5,⚠️ 주의
2025-05-24 03:19,7,False,medium,True,28.2,3,✅ 양호
2025-05-24 09:19,8,True,medium,True,37.4,6,⚠️ 주의
2025-05-24 15:19,7,False,medium,True,33.7,4,⚠️ 주의
2025-05-24 21:19,4,False,high,False,25.3,4,⚠️ 주의
2025-05-25 03:19,4,False,medium,False,35.8,5,⚠️ 주의
2025-05-25 09:19,4,False,low,False,37.6,4,⚠️ 주의
2025-05-25 15:19,8,False,high,True,32.7,5,⚠️ 주의
2025-05-25 21:19,7,True,medium,False,35.5,4,⚠️ 주의
2025-05-26 03:19,8,False,medium,False,32.9,2,✅ 양호
2025-05-26 09:19,4,False,high,True,26.2,6,⚠️ 주의
2025-05-26 15:19,4,False,low,False,30.9,3,✅ 양호
2025-05-26 21:19,6,False,high,False,36.2,4,⚠️ 주의
2025-05-27 03:19,7,True,medium,False,35.9,4,⚠️ 주의
2025-05-27 09:19,3,False,low,False,33.1,3,✅ 양호
2025-05-27 15:19,4,True,medium,True,32.5,7,🔥 매우 위험
2025-05-27 21:19,5,True,high,True,31.0,7,🔥 매우 위험
2025-05-28 03:19,5,False,low,True,36.4,5,⚠️ 주의
2025-05-28 09:19,5,True,medium,True,27.5,5,⚠️ 주의
